"","id","sigma_in","sigma_out","sigma_all","RANK","RANKout","RANKin","in_cp","out_cp","all_cp","X","sigma_cp","rank_cp","cp","country","TIME_PERIOD","LTE","internet","gdp_pct","schooling","log_gdp_pct","D_log_gdp_pct","D_internet","landlocked","continent","lat","lon","langoff_1","colonizer1","category","development"
"20","DEU",1474490098,2214575167,3689065265,3,3,3,1,1,1,20,3689065265,3,1,"Germany",2014,1,86.199997,41588.078,17.118401,10.635569,0.01729393,2,0,"Europe",52.533001,13.417,"German","","Advanced Economies",1
"21","DNK",811609733,876800423,1688410156,34,34,32,0,0,0,21,1688410156,34,0,"Denmark",2014,1,96,52368.359,19.20899,10.866057,0.0076284409,1.4000015,0,"Europe",55.666668,12.583333,"Danish","","Advanced Economies",1
"22","EGY",594553543,204483033,799036576,55,55,41,0,0,0,22,799036576,55,0,"Egypt, Arab Rep.",2014,0,33.900002,3235.6599,11.73951,8.0819883,0.0059766769,4.5000019,0,"Africa",30.049999,31.25,"Arabic","GBR","Emerging and Developing Economies",0
"23","ESP",1925385984,1825769832,3751155816,17,17,15,0,0,0,23,3751155816,17,0,"Spain",2014,1,76.199997,24947.85,17.285339,10.124543,0.018173218,4.5999985,0,"Europe",40.416668,-3.7166667,"Spanish","","Advanced Economies",1
"24","EST",201968123,143877887,345846010,61,61,64,0,0,0,24,345846010,61,0,"Estonia",2014,1,84.199997,17413.689,16.26989,9.7650118,0.035310745,4.1999969,0,"Europe",59.416668,24.75,"Estonian","RUS","Advanced Economies",1
"25","FIN",684377924,650212485,1334590409,38,38,36,0,0,0,25,1334590409,38,0,"Finland",2014,1,86.5,42502.488,19.25425,10.657318,-0.0089273453,-5,0,"Europe",60.133335,25,"Swedish","RUS","Advanced Economies",1
"26","FRA",2393737313,1642790386,4036527699,5,5,6,1,1,1,26,4036527699,5,1,"France",2014,1,83.800003,36444.391,15.44229,10.503543,0.0051803589,1.9000015,0,"Europe",48.866665,2.3333333,"French","","Advanced Economies",1
"27","GBR",2143167484,2360423590,4503591074,11,11,4,1,0,0,27,4503591074,11,0,"United Kingdom",2014,1,91.599998,44324.391,17.507481,10.69929,0.023975372,1.7999954,0,"Europe",51.5,-0.16666667,"English","","Advanced Economies",1
"28","GRC",453373839,217751877,671125716,52,52,46,0,0,0,28,671125716,52,0,"Greece",2014,1,63.200001,17903.529,17.87471,9.7927532,0.014552116,3.2999992,0,"Europe",38,23.733334,"Greek","TUR","Advanced Economies",1
"29","HKG",2664886745,1228301761,3893188506,30,30,11,0,0,0,29,3893188506,30,0,"Hong Kong SAR, China",2014,0,79.900002,41796.871,16.31303,10.640576,0.020225525,5.7000046,0,"Asia",22.266666,114.15,"English","GBR","Advanced Economies",1
"30","HRV",204381129,97621149,302002278,65,65,63,0,0,0,30,302002278,65,0,"Croatia",2014,1,68.599998,11863.86,15.56686,9.3812523,0.0020771027,1.9000015,0,"Europe",45.799999,15.966666,"Serbo-Croatian","AUT","Advanced Economies",1
"31","HUN",841487889,833393742,1674881631,35,35,31,0,0,0,31,1674881631,35,0,"Hungary",2014,1,75.699997,12287.38,15.58628,9.4163284,0.046460152,3.0999985,1,"Europe",47.5,19.049999,"Hungarian","","Emerging and Developing Economies",0
"32","IDN",1498712562,1493411260,2992123822,24,24,25,0,0,0,32,2992123822,24,0,"Indonesia",2014,1,17.1,3170.72,13.26311,8.0617142,0.037100792,2.2000008,0,"Asia",-6.1333332,106.75,"Indonesian","NLD","Emerging and Developing Economies",0
"33","IND",1519969917,1488311119,3008281036,19,19,14,0,0,0,33,3008281036,19,0,"India",2014,1,13.5,1484.3199,12.16592,7.302712,0.058877468,1.1999998,0,"Asia",28.616667,77.216667,"English","GBR","Emerging and Developing Economies",0
"34","IRL",713130620,1179136790,1892267410,31,31,38,0,0,0,34,1892267410,31,0,"Ireland",2014,1,83.5,52098.102,18.373711,10.860884,0.081945419,5.3000031,0,"Europe",53.333332,-6.25,"English","GBR","Advanced Economies",1
"35","ISL",47405494,49831929,97237423,70,70,74,0,0,0,35,97237423,70,0,"Iceland",2014,1,98.199997,51233.238,19.710461,10.844144,0.0056066513,1.6999969,0,"Europe",64.150002,-21.966667,"Icelandic","DNK","Advanced Economies",1
"36","ISR",634274381,594651907,1228926288,41,41,40,0,0,0,36,1228926288,41,0,"Israel",2014,1,75,36129.309,15.09505,10.49486,0.017867088,4.6999969,0,"Asia",32.083332,34.766666,"Hebrew","GBR","Advanced Economies",1
"37","ITA",2038735732,1971980920,4010716652,8,8,9,0,1,1,37,4010716652,8,1,"Italy",2014,1,55.599998,30325.029,15.96412,10.319729,-0.00016403198,-2.9000015,0,"Europe",41.883335,12.5,"Italian","","Advanced Economies",1
"38","JOR",221202423,52523740,273726163,68,68,60,0,0,0,38,273726163,68,0,"Jordan",2014,1,46.200001,4282.1201,12.910399,8.3622036,-0.062110901,4.7999992,0,"Asia",31.950001,35.933334,"Arabic","GBR","Emerging and Developing Economies",0
"39","JPN",2604839823,2947130001,5551969824,4,4,5,1,1,1,39,5551969824,4,1,"Japan",2014,1,89.099998,34386.91,15.40053,10.445432,0.0042848587,0.90000153,0,"Asia",35.666668,139.75,"Japanese","","Advanced Economies",1
"40","KAZ",396337862,578693814,975031676,42,42,48,0,0,0,40,975031676,42,0,"Kazakhstan",2014,1,66,10226.71,14.39549,9.2327585,0.026453018,2.7000008,1,"Asia",51.169998,71.470001,"Kazakh","RUS","Emerging and Developing Economies",0
"41","KHM",166119873,101268982,267388855,64,64,65,0,0,0,41,267388855,64,0,"Cambodia",2014,0,14,1464.53,11.112643,7.2892895,0.06213522,8,0,"Asia",11.583333,104.91666,"Khmer","FRA","Emerging and Developing Economies",0
"42","KOR",2417830901,2836729904,5254560805,6,6,10,0,1,1,42,5254560805,6,1,"Korea, Rep.",2014,0,87.599998,28100.01,16.615669,10.243526,0.025240898,2.7999954,0,"Asia",37.5,127,"Korean","JPN","Advanced Economies",1
"43","LAO",65622010,45139503,110761513,72,72,72,0,0,0,43,110761513,72,0,"Lao PDR",2014,0,14.3,2006.3101,11.03998,7.6040525,0.05957222,1.8000002,1,"Asia",17.983334,102.63333,"Lao","FRA","Emerging and Developing Economies",0
"44","LTU",278533699,223277379,501811078,53,53,55,0,0,0,44,501811078,53,0,"Lithuania",2014,1,72.099998,13753.19,16.13591,9.529026,0.045167923,3.5999985,0,"Europe",54.683334,25.316668,"Lithuanian","RUS","Advanced Economies",1
"45","LUX",256839828,179359319,436199147,60,60,59,0,0,0,45,436199147,60,0,"Luxembourg",2014,1,94.699997,105583.94,14.070037,11.567262,0.0023231506,0.8999939,1,"Europe",49.599998,6.1500001,"French","NLD","Advanced Economies",1
"46","LVA",253215143,133618936,386834079,63,63,58,0,0,0,46,386834079,63,0,"Latvia",2014,1,75.800003,12731.68,16.07193,9.451849,0.030151367,0.6000061,0,"Europe",56.950001,24.1,"Latvian","RUS","Advanced Economies",1
"47","MAR",383575285,209376445,592951730,56,56,49,0,0,0,47,592951730,56,0,"Morocco",2014,0,56.799999,3051.46,12.277138,8.0233755,0.014281273,0.79999924,0,"Africa",34.033333,-6.8499999,"Arabic","FRA","Emerging and Developing Economies",0
"48","MEX",3287547520,3425865344,6713412864,12,12,12,0,0,0,48,6713412864,12,0,"Mexico",2014,1,44.400002,9862.4805,14.08322,9.1964931,0.012629509,0.90000153,0,"America",19.416666,-99.166664,"Spanish","ESP","Emerging and Developing Economies",0
"49","MLT",159421823,50485969,209907792,69,69,66,0,0,0,49,209907792,69,0,"Malta",2014,1,73.099998,23865.98,15.41494,10.08021,0.053334236,4.1999969,0,"Europe",35.900002,14.533334,"English","GBR","Advanced Economies",1
"50","MMR",209208526,192217342,401425868,59,59,61,0,0,0,50,401425868,59,0,"Myanmar",2014,1,7.4000001,1099.24,10.479636,7.0023742,0.070229053,5.6000004,0,"Asia",16.783333,96.166664,"Burmese","GBR","Emerging and Developing Economies",0
"51","MYS",1560670110,1683631799,3244301909,18,18,23,0,0,0,51,3244301909,18,0,"Malaysia",2014,1,63.700001,9341.7305,13.12632,9.1422472,0.041185379,6.6000023,0,"Asia",3.1333334,101.7,"Malay","GBR","Emerging and Developing Economies",0
"52","NGA",484111354,848100083,1332211437,36,36,47,0,0,0,52,1332211437,36,0,"Nigeria",2014,1,21,2583.6201,9.0996656,7.8569469,0.034766674,1.8999996,0,"Africa",6.4499998,3.4666667,"English","GBR","Emerging and Developing Economies",0
"53","NLD",2450729797,1949035054,4399764851,7,7,7,1,1,1,53,4399764851,7,1,"Netherlands",2014,0,91.699997,45042.07,18.159813,10.715352,0.01239872,-2.3000031,0,"Europe",52.349998,4.9000001,"Dutch","","Advanced Economies",1
"54","NOR",755488742,1343429788,2098918530,28,28,35,0,0,0,54,2098918530,28,0,"Norway",2014,1,96.300003,74180.32,17.684441,11.214254,0.0089969635,1.2000046,0,"Europe",59.916668,10.75,"Norwegian","","Advanced Economies",1
"55","NZL",361463207,357561606,719024813,47,47,53,0,0,0,55,719024813,47,0,"New Zealand",2014,1,84,38056.262,19.0728,10.546821,0.020939827,1.1999969,0,"Pacific",-44.283333,174.78334,"English","GBR","Advanced Economies",1
"56","PAK",372967671,197897169,570864840,58,58,50,0,0,0,56,570864840,58,0,"Pakistan",2014,1,10,1343.3101,6.4668002,7.2028918,0.02533865,1,0,"Asia",33.666668,73.133331,"Urdu","GBR","Emerging and Developing Economies",0
"57","PER",356265581,348913418,705178999,48,48,54,0,0,0,57,705178999,48,0,"Peru",2014,1,40.200001,6103.9199,14.393594,8.7166862,0.013601303,1,0,"America",-12.1,-77.050003,"Spanish","ESP","Emerging and Developing Economies",0
"58","PHL",845046496,635111297,1480157793,40,40,34,0,0,0,58,1480157793,40,0,"Philippines",2014,1,34.700001,2776.9199,12.46007,7.9290977,0.045116425,2,0,"Asia",14.616667,120.96667,"English","ESP","Emerging and Developing Economies",0
"59","POL",1591064418,1292813914,2883878332,23,23,19,0,0,0,59,2883878332,23,0,"Poland",2014,1,66.599998,12093.16,16.206091,9.4003954,0.039204597,3.7999992,0,"Europe",52.25,21,"Polish","DEU","Emerging and Developing Economies",0
"60","PRT",672928082,518725892,1191653974,44,44,39,0,0,0,60,1191653974,44,0,"Portugal",2014,1,64.599998,18836.9,16.370605,9.8435726,0.012778282,2.5,0,"Europe",38.733334,-9.1333332,"Portuguese","","Advanced Economies",1
"61","RUS",1717024621,2151194295,3868218916,10,10,17,0,0,0,61,3868218916,10,0,"Russian Federation",2014,0,70.5,9493.8096,14.8374,9.1583948,-0.011283875,2.5,0,"Asia",55.75,37.700001,"Russian","","Emerging and Developing Economies",0
"62","SAU",1335373067,1951903472,3287276539,15,15,29,0,0,0,62,3287276539,15,0,"Saudi Arabia",2014,1,64.699997,23404.73,14.39806,10.060694,0.014953613,4.1999969,0,"Asia",24.65,46.766666,"Arabic","","Emerging and Developing Economies",0
"63","SEN",77006332,13255497,90261829,74,74,70,0,0,0,63,90261829,74,0,"Senegal",2014,0,17.700001,1180.8,9.2931499,7.0739474,0.028702259,4.6000004,0,"Africa",14.633333,-17.450001,"French","FRA","Emerging and Developing Economies",0
"64","SGP",1727439603,1113556113,2840995716,16,16,16,0,0,0,64,2840995716,16,0,"Singapore",2014,1,79,54681.93,16.970684,10.909288,0.025615692,-1.9000015,0,"Asia",1.2833333,103.85,"English","GBR","Advanced Economies",1
"65","SVK",716522706,716193681,1432716387,37,37,37,0,0,0,65,1432716387,37,0,"Slovak Republic",2014,1,80,15647.65,14.98193,9.6580763,0.025749207,2.0999985,1,"Europe",48.166668,17.166666,"Slovak","HUN","Advanced Economies",1
"66","SVN",280216033,243008017,523224050,51,51,56,0,0,0,66,523224050,51,0,"Slovenia",2014,1,71.599998,20228.711,17.346291,9.9148579,0.026269913,-1.0999985,0,"Europe",46.066666,14.5,"Slovenian","AUT","Advanced Economies",1
"67","SWE",1036952059,1019252624,2056204683,27,27,28,0,0,0,67,2056204683,27,0,"Sweden",2014,1,92.5,49556.699,18.093519,10.810873,0.012776375,-2.3000031,0,"Europe",59.333332,18.083334,"Swedish","","Advanced Economies",1
"68","THA",1479366266,1506409813,2985776079,21,21,24,0,0,0,68,2985776079,21,0,"Thailand",2014,1,34.900002,5541.4702,16.065229,8.6200151,0.0044965744,6.0000019,0,"Asia",13.733334,100.5,"Thai","","Emerging and Developing Economies",0
"69","TUN",206595183,147926732,354521915,62,62,62,0,0,0,69,354521915,62,0,"Tunisia",2014,0,46.200001,4021.6001,14.093,8.2994347,0.018573761,2.4000015,0,"Africa",36.833332,10.216666,"Arabic","FRA","Emerging and Developing Economies",0
"70","TUR",1542122215,905806316,2447928531,32,32,21,0,0,0,70,2447928531,32,0,"Turkiye",2014,0,51,10556.12,17.31708,9.2644615,0.034725189,4.7000008,0,"Europe",39.93,32.849998,"Turkish","","Emerging and Developing Economies",0
"71","UKR",470894723,406101915,876996638,45,45,45,0,0,0,71,876996638,45,0,"Ukraine",2014,0,46.200001,2308.6399,14.92978,7.7444139,-0.052227974,5.2000008,0,"Europe",50.416668,30.5,"Ukrainian","RUS","Emerging and Developing Economies",0
"72","USA",0,1374613300,1374613300,2,2,1,1,1,1,72,1374613300,2,1,"United States",2014,1,73,55665.238,16.559549,10.927111,0.016963959,1.5999985,0,"America",38.867001,-77,"English","GBR","Advanced Economies",1
"73","VNM",1483629741,1255678791,2739308532,29,29,27,0,0,0,73,2739308532,29,0,"Viet Nam",2014,0,41,2439.29,13.64726,7.7994623,0.050105572,2.5,0,"Asia",21.016666,105.86667,"Vietnamese","FRA","Emerging and Developing Economies",0
"74","ZAF",811452968,950939302,1762392270,33,33,33,0,0,0,74,1762392270,33,0,"South Africa",2014,1,49,6155.0098,14.2816,8.7250214,-0.0025749207,2.5,0,"Africa",-25.73,28.219999,"English","GBR","Emerging and Developing Economies",0
