"","iso_o","sigma_cp","rank_cp","cp","country","TIME_PERIOD","LTE","internet","gdp_pct","schooling","log_gdp_pct","D_log_gdp_pct","D_internet","landlocked","continent","lat","lon","langoff_1","colonizer1","category","development"
"16","COL",192326627,46,0,"Colombia",2000,0,2.21,4016.8101,12.15445,8.2982435,0.012450218,0.50999999,0,"America",4.6333332,-75.066666,"Spanish","ESP","Emerging and Developing Economies",0
"17","CRI",103707916,56,0,"Costa Rica",2000,0,5.8000002,7726.52,11.46004,8.9524136,0.018562317,1.9000001,0,"America",9.9833336,-84.066666,"Spanish","ESP","Emerging and Developing Economies",0
"18","CYP",63899834,72,0,"Cyprus",2000,0,15.3,22383.961,12.4038,10.0161,0.047304153,4,0,"Europe",35.150002,33.349998,"Greek","GBR","Advanced Economies",1
"19","CZE",510867270,34,0,"Czechia",2000,0,9.7799997,12543.94,14.02148,9.4369926,0.042127609,2.9499998,1,"Europe",50.099998,14.433333,"Czech","AUT","Advanced Economies",1
"20","DEU",917672556,2,1,"Germany",2000,0,30.200001,35087.09,16.16334,10.465589,0.027011871,9.4000015,0,"Europe",52.533001,13.417,"German","","Advanced Economies",1
"21","DNK",740471474,28,0,"Denmark",2000,0,39.200001,49266.988,16.202869,10.80501,0.033221245,8.6000004,0,"Europe",55.666668,12.583333,"Danish","","Advanced Economies",1
"22","EGY",215042741,55,0,"Egypt, Arab Rep.",2000,0,0.63999999,2458.6101,10.777716,7.8073516,0.040146828,0.34999999,0,"Africa",30.049999,31.25,"Arabic","GBR","Emerging and Developing Economies",0
"23","ESP",1760318883,14,0,"Spain",2000,0,13.6,24106.881,15.86467,10.090253,0.046228409,6.5100002,0,"Europe",40.416668,-3.7166667,"Spanish","","Advanced Economies",1
"24","EST",88729217,59,0,"Estonia",2000,0,28.6,10006.77,15.16272,9.2110167,0.091268539,14.1,0,"Europe",59.416668,24.75,"Estonian","RUS","Advanced Economies",1
"25","FIN",671110134,29,0,"Finland",2000,0,37.200001,37872.602,17.68335,10.541984,0.05386734,4.9000015,0,"Europe",60.133335,25,"Swedish","RUS","Advanced Economies",1
"26","FRA",1969503943,5,1,"France",2000,0,14.3,33255.141,14.93727,10.411964,0.033712387,5.1700001,0,"Europe",48.866665,2.3333333,"French","","Advanced Economies",1
"27","GBR",2012805714,6,1,"United Kingdom",2000,0,26.799999,38921.898,15.99541,10.569312,0.038927078,5.5,0,"Europe",51.5,-0.16666667,"English","","Advanced Economies",1
"28","GRC",341202543,47,0,"Greece",2000,0,9.1400003,18002.91,15.08322,9.7982883,0.036455154,2.2600002,0,"Europe",38,23.733334,"Greek","TUR","Advanced Economies",1
"29","HKG",1615556588,19,0,"Hong Kong SAR, China",2000,0,27.799999,26933.26,12.526328,10.201118,0.065023422,6.5999985,0,"Asia",22.266666,114.15,"English","GBR","Advanced Economies",1
"30","HRV",98890483,63,0,"Croatia",2000,0,6.6399999,8879.96,12.82218,9.0915527,0.038890839,2.23,0,"Europe",45.799999,15.966666,"Serbo-Croatian","AUT","Advanced Economies",1
"31","HUN",544671840,35,0,"Hungary",2000,0,7,8979.7402,14.34342,9.102726,0.045746803,1.1399999,1,"Europe",47.5,19.049999,"Hungarian","","Emerging and Developing Economies",0
"32","IDN",805756925,26,0,"Indonesia",2000,0,0.93000001,1828.1,10.76461,7.5110326,0.033705711,0.49000001,0,"Asia",-6.1333332,106.75,"Indonesian","NLD","Emerging and Developing Economies",0
"33","IND",655710283,31,0,"India",2000,0,0.52999997,756.70001,8.3260298,6.6289668,0.018889904,0.25999996,0,"Asia",28.616667,77.216667,"English","GBR","Emerging and Developing Economies",0
"34","IRL",1136134004,20,0,"Ireland",2000,0,17.9,42643.629,16.71694,10.660633,0.076541901,7,0,"Europe",53.333332,-6.25,"English","GBR","Advanced Economies",1
"35","ISL",47829706,67,0,"Iceland",2000,0,44.5,42174.672,17.02371,10.649575,0.034955978,3.2000008,0,"Europe",64.150002,-21.966667,"Icelandic","DNK","Advanced Economies",1
"36","ISR",596958864,32,0,"Israel",2000,0,20.9,29413.49,14.31398,10.289208,0.055912971,7.5,0,"Asia",32.083332,34.766666,"Hebrew","GBR","Advanced Economies",1
"37","ITA",2101085888,8,0,"Italy",2000,0,23.1,32609.67,15.08234,10.392365,0.037633896,8.7000008,0,"Europe",41.883335,12.5,"Italian","","Advanced Economies",1
"38","JOR",44304563,71,0,"Jordan",2000,0,2.6199999,3412.0801,11.81544,8.1350775,0.02085495,0.089999914,0,"Asia",31.950001,35.933334,"Arabic","GBR","Emerging and Developing Economies",0
"39","JPN",2473914052,3,1,"Japan",2000,0,30,31430.631,14.98796,10.355538,0.025598526,8.6000004,0,"Asia",35.666668,139.75,"Japanese","","Advanced Economies",1
"40","KAZ",114942823,52,0,"Kazakhstan",2000,0,0.67000002,4269.3301,12.2379,8.3592119,0.090567589,0.21000001,1,"Asia",51.169998,71.470001,"Kazakh","RUS","Emerging and Developing Economies",0
"41","KHM",30516439,70,0,"Cambodia",2000,0,0.050000001,598.56,7.9584699,6.394527,0.079349995,0.020000001,0,"Asia",11.583333,104.91666,"Khmer","FRA","Emerging and Developing Economies",0
"42","KOR",1922371214,12,0,"Korea, Rep.",2000,0,44.700001,16995.561,15.53611,9.7407074,0.078373909,21.1,0,"Asia",37.5,127,"Korean","JPN","Advanced Economies",1
"43","LAO",9343070,74,0,"Lao PDR",2000,0,0.11,917.22998,7.92591,6.8213582,0.03958559,0.07,1,"Asia",17.983334,102.63333,"Lao","FRA","Emerging and Developing Economies",0
"44","LTU",86954418,61,0,"Lithuania",2000,0,6.4299998,6384.3101,14.49924,8.7615986,0.04064846,3.5099998,0,"Europe",54.683334,25.316668,"Lithuanian","RUS","Advanced Economies",1
"45","LUX",180330710,51,0,"Luxembourg",2000,0,22.9,92527.711,13.41461,11.435264,0.053639412,5.5,1,"Europe",49.599998,6.1500001,"French","NLD","Advanced Economies",1
"46","LVA",68941342,65,0,"Latvia",2000,0,6.3200002,6336.3799,14.19244,8.7540627,0.06640625,1.9300003,0,"Europe",56.950001,24.1,"Latvian","RUS","Advanced Economies",1
"47","MAR",172110189,50,0,"Morocco",2000,0,0.69,1957.14,8.5627699,7.5792394,0.011128902,0.50999999,0,"Africa",34.033333,-6.8499999,"Arabic","FRA","Emerging and Developing Economies",0
"48","MEX",2861572077,11,0,"Mexico",2000,0,5.0799999,9581.9697,11.96185,9.1676388,0.033641815,3.2199998,0,"America",19.416666,-99.166664,"Spanish","ESP","Emerging and Developing Economies",0
"49","MLT",68328344,66,0,"Malta",2000,0,13.1,17178.289,14.05391,9.7514019,0.17320919,5.3400002,0,"Europe",35.900002,14.533334,"English","GBR","Advanced Economies",1
"50","MMR",44469159,68,0,"Myanmar",2000,0,15.558494,298.59,7.9098496,5.6990714,0.11760712,15.558494,0,"Asia",16.783333,96.166664,"Burmese","GBR","Emerging and Developing Economies",0
"51","MYS",1431000236,15,0,"Malaysia",2000,0,21.4,6455.6099,12.39343,8.7727051,0.061432838,9.0999994,0,"Asia",3.1333334,101.7,"Malay","GBR","Emerging and Developing Economies",0
"52","NGA",312878404,36,0,"Nigeria",2000,0,0.059999999,1421.6801,8.0457802,7.2595944,0.022197247,0.02,0,"Africa",6.4499998,3.4666667,"English","GBR","Emerging and Developing Economies",0
"53","NLD",2148821414,9,0,"Netherlands",2000,0,44,40665.34,16.539989,10.613132,0.034184456,4.7999992,0,"Europe",52.349998,4.9000001,"Dutch","","Advanced Economies",1
"54","NOR",834368611,23,0,"Norway",2000,0,52,67846.602,17.42749,11.125005,0.02616024,12,0,"Europe",59.916668,10.75,"Norwegian","","Advanced Economies",1
"55","NZL",242723170,43,0,"New Zealand",2000,0,47.400002,30853.811,17.929289,10.337015,0.022420883,5.9000015,0,"Pacific",-44.283333,174.78334,"English","GBR","Advanced Economies",1
"56","PAK",149699608,49,0,"Pakistan",2000,0,15.558494,1049.54,4.6623321,6.9561071,0.013467312,15.498493,0,"Asia",33.666668,73.133331,"Urdu","GBR","Emerging and Developing Economies",0
"57","PER",118366487,54,0,"Peru",2000,0,3.0799999,3286.27,12.81504,8.0975084,0.01098156,1.1299999,0,"America",-12.1,-77.050003,"Spanish","ESP","Emerging and Developing Economies",0
"58","PHL",753418959,30,0,"Philippines",2000,0,1.98,1793.35,11.539041,7.4918408,0.019101143,0.55000007,0,"Asia",14.616667,120.96667,"English","ESP","Emerging and Developing Economies",0
"59","POL",579471848,33,0,"Poland",2000,0,7.29,7401.5801,14.89495,8.9094486,0.055955887,1.8299999,0,"Europe",52.25,21,"Polish","DEU","Emerging and Developing Economies",0
"60","PRT",573844832,39,0,"Portugal",2000,0,16.4,18822.09,15.68544,9.8427868,0.030423164,1.6999998,0,"Europe",38.733334,-9.1333332,"Portuguese","","Advanced Economies",1
"61","RUS",671152157,16,0,"Russian Federation",2000,0,1.98,5323.6699,12.791073,8.5799179,0.099517822,0.96000004,0,"Asia",55.75,37.700001,"Russian","","Emerging and Developing Economies",0
"62","SAU",852339212,21,0,"Saudi Arabia",2000,0,2.21,22247.859,11.580848,10.010001,0.0015039444,1.72,0,"Asia",24.65,46.766666,"Arabic","","Emerging and Developing Economies",0
"63","SEN",21778899,73,0,"Senegal",2000,0,0.40000001,1048.37,5.4900041,6.9549918,0.014033794,0.090000004,0,"Africa",14.633333,-17.450001,"French","FRA","Emerging and Developing Economies",0
"64","SGP",1223567054,13,0,"Singapore",2000,0,36,34890.078,16.797489,10.459958,0.069209099,11.799999,0,"Asia",1.2833333,103.85,"English","GBR","Advanced Economies",1
"65","SVK",235298313,45,0,"Slovak Republic",2000,0,9.4300003,8997.21,13.48645,9.1046696,0.0092153549,3.9900002,1,"Europe",48.166668,17.166666,"Slovak","HUN","Advanced Economies",1
"66","SVN",163317258,48,0,"Slovenia",2000,0,15.1,16146.12,14.97756,9.689435,0.031420708,2.5,0,"Europe",46.066666,14.5,"Slovenian","AUT","Advanced Economies",1
"67","SWE",998158754,18,0,"Sweden",2000,0,45.700001,41561.102,18.69343,10.63492,0.043664932,4.2999992,0,"Europe",59.333332,18.083334,"Swedish","","Advanced Economies",1
"68","THA",995791190,22,0,"Thailand",2000,0,3.6900001,3514.72,11.324493,8.1647148,0.0322752,1.26,0,"Asia",13.733334,100.5,"Thai","","Emerging and Developing Economies",0
"69","TUN",132553192,58,0,"Tunisia",2000,0,2.75,2864.55,12.53473,7.9601665,0.034802914,1.15,0,"Africa",36.833332,10.216666,"Arabic","FRA","Emerging and Developing Economies",0
"70","TUR",568265292,38,0,"Turkiye",2000,0,3.76,6325.1001,11.133355,8.7522812,0.054205894,1.47,0,"Europe",39.93,32.849998,"Turkish","","Emerging and Developing Economies",0
"71","UKR",222718790,44,0,"Ukraine",2000,0,0.72000003,1409.22,12.79876,7.2507915,0.065760612,0.32000002,0,"Europe",50.416668,30.5,"Ukrainian","RUS","Emerging and Developing Economies",0
"72","USA",0,1,1,"United States",2000,0,43.099998,48616.25,15.40755,10.791713,0.028838158,7.2999992,0,"America",38.867001,-77,"English","GBR","Advanced Economies",1
"73","VNM",255198331,42,0,"Viet Nam",2000,0,0.25,1212.2,10.55862,7.1001921,0.054380417,0.12,0,"Asia",21.016666,105.86667,"Vietnamese","FRA","Emerging and Developing Economies",0
"74","ZAF",484392474,37,0,"South Africa",2000,0,5.3499999,4700.8799,11.935915,8.4555054,0.031996727,1.23,0,"Africa",-25.73,28.219999,"English","GBR","Emerging and Developing Economies",0
